"名前","住所","緯度","経度"
"みはら整形外科耳鼻科","沖縄市美原四丁目１０番２号",,
"永山脳神経クリニック","沖縄市美原四丁目１番１０号",,
"みさと耳鼻科","沖縄市美原四丁目１番１５号",,
"いしはら小児科","沖縄市美原四丁目２７番１５号",,
"美里女性クリニック","沖縄市美原二丁目２５番３号",,
"兼城医院","沖縄市美原二丁目２６番１３号",,
"ふくはら胃腸科外科","沖縄市美里仲原町２６番５号",,
"あきら整形外科クリニック","沖縄市古謝２丁目１９番５号",,
"あさとこどもクリニック","沖縄市古謝２丁目１９番６号",,
"なかみねニュークリニック","沖縄市古謝二丁目２１番２９号",,
"やんハーブクリニック","沖縄市宮里５２７－１",,
"うちま内科","沖縄市宮里四丁目２番３号",,
"女性内科　オレンジ","沖縄市古謝津嘉山町３０番２２号　武ハウス１号室",,
"うえはら眼科","沖縄市高原２－４－１７",,
"高原こころクリニック","沖縄市高原６丁目４番９号",,
"ともり耳鼻咽喉科","沖縄市高原７－３１－５",,
"おくま眼科","沖縄市高原７丁目２８番１号",,
"アワセ第一医院","沖縄市泡瀬２－５４－２６",,
"ふくはら小児科医院","沖縄市泡瀬２－８－７",,
"アワセ皮フ科クリニック","沖縄市泡瀬４－１－２　１Ｆ",,
"伊元小児科","沖縄市泡瀬４－３９－１２",,
"ヘシキ形成外科クリニック","沖縄市泡瀬４丁目４０番１号",,
"医療法人真愛会　伊佐整形外科","沖縄市比屋根２－３－３",,
"なかむら内科おなかクリニック","沖縄市比屋根六丁目２７番１７号　１Ｆ",,
"いくみ皮ふ科クリニック","沖縄市比屋根六丁目２７番１７号　２Ｆ",,
"東部クリニック","沖縄市与儀３丁目９番１号",,
"大嶺医院","うるま市田場１４１７",,
"いわした内科クリニック","うるま市安慶名一丁目２番１１号",,
"しま小児科内科クリニック","うるま市安慶名三丁目２３番２４号",,
"おおみね眼科","うるま市安慶名三丁目３９番３号",,
"しげま小児科医院","うるま市みどり町３－１８－１２",,
"もとむら耳鼻咽喉クリニック","うるま市みどり町４－１０－７",,
"医療法人うるま会　具志川整形外科","うるま市みどり町４－１３－１",,
"みどり町眼科","うるま市みどり町４－１４－７コーポ仲宗根１Ｆ",,
"ぐしかわ皮フ科","うるま市みどり町４－１９－１",,
"みどり町クリニック","うるま市みどり町５－２７－２",,
"ぐしけん眼科","うるま市具志川１３７１－１",,
"平良川整形外科","うるま市喜屋武１６９－５",,
"うるまこころのクリニック","うるま市字喜屋武５４６－１",,
"しろま内科クリニック","うるま市字喜屋武手振原５４６－１　１Ｆ",,
"いずみクリニック","うるま市高江洲９７８－１",,
"ちねん小児科","うるま市宮里２６２番地１８",,
"なかよし眼科","うるま市宮里７６３－１",,
"江洲整形外科クリニック","うるま市江洲５９８番地４　２階",,
"とくだ心療内科","うるま市字江洲５４７番地２",,
"すながわ内科クリニック","うるま市字江洲６００番地５",,
"たまき心療内科クリニック","うるま市字赤道２６０－６",,
"ひまわりキッズクリニック","うるま市赤道１７４番地５",,
"中山内科医院","うるま市赤道２６０－７",,
"しゅくみね内科","うるま市赤道７５９－１",,
"赤道医院","うるま市赤道９番地の１０",,
"伊禮医院","うるま市与那城２４",,
"与勝あやはしクリニック","うるま市与那城屋慶名４６７番地１１１",,
"寺本耳鼻咽喉科医院","うるま市勝連平安名１６５５－１",,
"沖縄県立中部病院附属津堅診療所","うるま市勝連津堅１５８２",,
"みるく福祉サービス","うるま市赤道8-11（１Ｆ）",,
"うるまケアセンター","うるま市みどり町五丁目14番7号",,
"訪問看護ステーションかいほう","宜野湾市真志喜２丁目２２番２号",,
"訪問看護ステーションぎのわん","宜野湾市宜野湾３－４－３",,
"訪問看護ステーション　はごろも","宜野湾市大謝名１丁目２０番２号",,
"訪問看護ステーション　みかん","宜野湾市嘉数２丁目２番１号　２Ｆ",,
"訪問看護ステーションカルペディエム","宜野湾市真栄原二丁目15番-29号",,
"トータルサポートセンター　よつ葉　訪問看護ステーション","宜野湾市長田四丁目14-18",,
"愛聖クリニック","沖縄市高原５丁目１５番１１号",,
"中部協同病院","沖縄市知花六丁目25番５号",,
"訪問看護ステーションなかがみ","沖縄市知花６丁目２５番１５号",,
"訪問看護ステーション　白樺","沖縄市泡瀬一丁目２３番１３号",,
"訪問看護ステーション　三丁目","沖縄市松本三丁目７番２７号",,
"訪問看護ステーション　こころのかて","沖縄市比屋根６－１０－１１メゾンかりゆし１０１号",,
"まなざし訪問看護ステーション","沖縄市室川二丁目３３番７３号２階",,
"かなさん訪問看護ステーション中部","沖縄市美里3丁目１番１号トーマス美里101",,
"訪問看護ステーション　もみの木","沖縄市美里1丁目3-2仲本アパート102号室",,
"訪問看護ステーションひだまり","沖縄市桃原338番地4",,
"訪問看護ステーション　リアンlien","沖縄市比屋根六丁目10番13号",,
"あわせ訪問看護ステーション","沖縄市泡瀬四丁目41番１号",,
"一般社団法人中部地区医師会訪問看護ステーション","沖縄市八重二丁目11番12号",,
"訪問看護ステーション　クララ","沖縄市泡瀬４丁目２２番１３号　高江洲ｱﾊﾟｰﾄ103",,
"訪問看護ステーションいのり　中部支店","沖縄市美里３丁目８番６号メゾンティーダ１０４",,
"与勝あやはしクリニック　","うるま市与那城屋慶名467番地111",,
"与勝病院","うるま市勝連南風原3584番地",,
"訪問看護ステーションあゆむ","うるま市石川曙3丁目2番地28号",,
"訪問看護ステーションいずみ苑","うるま市栄野比1150番地",,
"訪問看護ステーションのぞみ","うるま市宮里８４２番地５",,
"訪問看護ステーションうるま","うるま市みどり町5丁目14番7号",,
"訪問看護ステーション　青空","うるま市字大田７１８番地１",,
"訪問看護ステーション　リズム","うるま市字仲嶺５３０番地３４仲嶺ハイツ　B-13",,
"訪問看護ひまわり","うるま市喜仲一丁目３－１８１階",,
"訪問看護　あい・ゆう　健やか","うるま市勝連平敷屋４３０番地２１０２号室",,
"訪問看護ステーションうんな","国頭郡恩納村字恩納６１２１番地",,
"ひまわり訪問看護ステーション","国頭郡恩納村字名嘉真２６０５番地",,
"訪問看護ステーションぷくじ","国頭郡恩納村字恩納２８５８番地の３",,
"訪問看護ステーション ぎのざ桑の実","国頭郡宜野座村字惣慶１８９４－４",,
"おくまクリニック","国頭郡金武町金武4790番地1",,
"どりーむ訪問看護ステーション","国頭郡金武町字金武３４４７番地１",,
"読谷村診療所","中頭郡読谷村都屋179番地　読谷村診療所",,
"かなさん内科クリニック","中頭郡読谷村字古堅675番地",,
"訪問看護ステーション　花織","中頭郡読谷村喜名497番地の14",,
"訪問看護ステーション健やか","中頭郡読谷村字高志保９２番地",,
"聖隷訪問看護ステーションゆい","中頭郡嘉手納町字嘉手納２７０－１９平安名ビル２F南",,
"徳洲会ハンビークリニック　","中頭郡北谷町北前１丁目21番１号",,
"アソシアソーシャルサポート","中頭郡北谷町字北前１－１０－８",,
"訪問看護ステーション若松",,,
"訪問看護ステーション若松","中頭郡北中城村字喜舎場３６０番地１",,
"訪問看護ステーション　ふたふぁ","中頭郡中城村字南上原732番地",,
"訪問看護ステーション　デュ－ン沖縄","中頭郡中城村南上原６２４番地１Ｍa．サンビスカ102号",,
"訪問看護ステーション和","中頭郡西原町池田757番地",,
"訪問看護ステーションさわふじ","中頭郡西原町上原２丁目２３番の２サンテラス屋良Ｔ－１－１",,
"訪問看護ステーション　はーとらいふ","中頭郡西原町字小那覇1606番地",,
"訪問看護かーさ","中頭郡西原町棚原一丁目11番地の３",,
"ヘルパーステーションぎのわん","宜野湾市宜野湾３－４－３",,
"訪問介護ステーションかいほう","宜野湾市真志喜２丁目２２番２号",,
"ヘルパーステーション　はごろも","宜野湾市大謝名１丁目２０番２号",,
"在宅介護サービスきずな","宜野湾市普天間二丁目３１番７号",,
"訪問介護事業所愛誠園","宜野湾市大山3丁目31番１号",,
"ＰＡＩ おきなわ","宜野湾市伊佐四丁目4番1号",,
"訪問介護ステーション　みかん","宜野湾市嘉数2丁目2番1号2F",,
"ヘルパーステーションはっぴー","宜野湾市我如古２－３７－１２山本アパートＡ－１号室",,
"ヘルパーステーション　まえはら","宜野湾市真栄原三丁目７番７号",,
"かりゆしぎのわん訪問介護事業所","宜野湾市宜野湾三丁目２１番６－１０２号",,
"訪問介護ステーションふれあい","宜野湾市真栄原三丁目20番12号",,
"ケアコミュニティ結び","宜野湾市宇地泊７５１番地１５－８０９号",,
"認知症対応型ヘルパーステーションあかねケア","宜野湾市宜野湾2丁目8番34号",,
"ヘルパーステーションプルメリア","宜野湾市大山五丁目3番1号",,
"トータルサポートセンター　よつ葉　指定訪問介護ステーション","宜野湾市長田四丁目14-18",,
"ヘルパーステーションさんだん花","宜野湾市大山七丁目７番２２号",,
"訪問介護ステーション　はな","宜野湾市大山六丁目７番１９－１０１号キャステル大山",,
"ヘルパーステーションほのぼの","宜野湾市大謝名94番地",,
"訪問介護センター彩風の杜","宜野湾市上原1丁目8番5号1Ｆ",,
"訪問介護事業所　琉風","宜野湾市普天間一丁目２９番２３号コンフォート琉風１階１０１号室",,
"ヘルパーステーションリリー","宜野湾市大謝名一丁目１７番１１号　Ｅ号室",,
"中部徳洲会病院訪問介護事業所","沖縄市胡屋6丁目4番19号",,
"一般社団法人中部地区医師会ヘルパーステーション","沖縄市八重2丁目11番12号",,
"沖縄一条園訪問介護事業所","沖縄市与儀3丁目5番10号",,
"緑樹苑居宅サービス事業所","沖縄市胡屋7丁目2番10号",,
"介護支援センター中部","沖縄市住吉１丁目５番22号",,
"ニチイケアセンター沖縄","沖縄市久保田３丁目１番12号　プラザハウスフェアモール３Ｆ",,
"ゆがふ在宅介護事業所","沖縄市園田２丁目19番６号",,
"公益社団法人　沖縄市シルバー人材センター","沖縄市美原三丁目１番１号",,
"きづき訪問介護事業所","沖縄市泡瀬一丁目21番15号",,
"ケアサービスかりゆし","沖縄市比屋根六丁目２２番３号",,
"たんぽぽ苑　ヘルパーステーション","沖縄市桃原２丁目１７番１７号",,
"訪問介護ステーション　ニヘーデービル","沖縄市大里字大里５６番地",,
"ケアステーション　だるま","沖縄市美里仲原町３０番１号　　コーポエルソール102",,
"愛聖ヘルパーステーション","沖縄市海邦１丁目15番10号　１階　",,
"あわせヘルパーステーション","沖縄市泡瀬４丁目４１番１号",,
"訪問介護　しあわせ街角","沖縄市上地二丁目９番５号１階　１０２号",,
"中部サンケアネット　訪問介護事業所","沖縄市古謝三丁目12番20号",,
"JAおきなわ中部介護福祉センター訪問介護事業所","沖縄市仲宗根町14番15号",,
"ヘルパーステーションふれ愛","沖縄市胡屋七丁目５番３５号",,
"訪問介護　ケア・サポート　しおひら","沖縄市園田２丁目１５番５号",,
"訪問介護事業所　つわぶき","沖縄市久保田一丁目10番3号",,
"訪問介護事業所あおい","沖縄市高原四丁目２４番２５号",,
"ホームヘルプ　元気のたね","沖縄市知花4-5-29",,
"コロニーヘルパーステーションみなみとうばる","沖縄市南桃原３丁目４番１１号",,
"ヘルパーステーション　宙伸","沖縄市照屋一丁目１０番４号",,
"訪問介護事業所　心・和","沖縄市美里三丁目１７番１６号",,
"ヘルパーステーション　ティーダ","沖縄市胡屋１丁目５番６号",,
"ヘルパーステーション　くくる","沖縄市諸見里三丁目４７番１４号",,
"訪問介護　えくぼ","沖縄市池原5丁目3番29号",,
"太陽ヘルパーステーション","沖縄市登川１－７－２６１０２号",,
"訪問介護いっしん池原","沖縄市池原二丁目７番２５号",,
"ヘルパーステーション　キジムナー","沖縄市高原五丁目１番３号",,
"ヘルパーステーション美空","沖縄市泡瀬五丁目３３番５号",,
"訪問介護まごのて美里","沖縄市東２－１５－１２",,
"ゆいまーる沖縄美里","沖縄市美里二丁目２８番５号",,
"ケアサポートセンターうみそら","沖縄市高原六丁目１５番６号ハートピアG 103号",,
"訪問介護事業所　樹","沖縄市大里2丁目6番6号",,
"ヘルパーステーションりんご","沖縄市与儀三丁目３番２号",,
"ヘルパーステーション千手","沖縄市知花二丁目２番１号池原店舗１０１号室",,
"訪問介護事業所エルスリー沖縄","沖縄市高原七丁目15-14",,
"訪問介護事業所　ちゃーびらさい","沖縄市美里一丁目２８番１２号",,
"介護支援事業所　ケルビム美里","沖縄市美里2丁目13番33号",,
"与勝病院訪問介護","うるま市勝連南風原3584番地",,
"あかみち薬局","うるま市字赤道１０番地の１０",,
"へしきや薬局　訪問介護支援センター","うるま市与那城西原988番地の３（２Ｆ）",,
"ホームヘルパーステーション願寿ぬ森","うるま市石川3273番地の2",,
"ヘルパーステーションいずみ介護会","うるま市栄野比1151番地1",,
"訪問介護ひまわり","うるま市喜仲一丁目３－１８　１階",,
"楽寿園指定訪問介護事業所","うるま市石川嘉手苅961番地17",,
"合資会社　ケアサービスうるま","うるま市石川白浜２丁目３番２１号",,
"コロニーヘルパーステーション　うるま","うるま市みどり町５－２７－９",,
"具志川厚生園指定訪問介護事業所","うるま市天願1983番地",,
"さくらケアステーション　ホームヘルプサービス","うるま市田場1927-2",,
"うるまケアセンター","うるま市みどり町5丁目14番７号",,
"ヘルパーサービスＳＹＭ","うるま市具志川２４３６番地",,
"アイズケアサービス","うるま市字具志川１３２１番地１",,
"訪問介護いっしんうるま","うるま市石川東恩納１３３－１",,
"ヘルパーステーション　にこにこフリーダム","うるま市与那城上原１５７９番地１の１",,
"訪問介護いっしん上江洲","うるま市字上江洲４６６番地１",,
"あい・ゆうヘルパーステーション","うるま市勝連平敷屋４３０番地２１０２号室",,
"訪問介護ステーション　志","うるま市勝連平安名３０２３番地１０２号",,
"イリーゼうるま訪問介護センター","うるま市喜屋武５４６－１",,
"ヘルパーステーションおもろの郷","うるま市安慶名三丁目4番２３号",,
"ヘルパーステーション　陽だまり","うるま市石川東恩納１６７８番地１",,
"ホームヘルプサービスセンター陽光館","うるま市字宮里265番地4",,
"ヘルパーステーションあやはし苑","うるま市与那城屋慶名1410番地",,
"訪問介護事業所与勝の里","うるま市勝連南風原4902番地",,
"訪問介護ステーションうんな","国頭郡恩納村恩納６１２１番地",,
"恩納村社会福祉協議会指定訪問介護事業所","国頭郡恩納村字恩納6302番地",,
"宜野座村訪問介護事業所","国頭郡宜野座村字惣慶1898番地　（宜野座村地域福祉センター内）",,
"訪問介護事業所　えがお","国頭郡宜野座村漢那1953番地1",,
"どりーむ訪問介護ステーション","国頭郡金武町金武３４４７番地１",,
"ヘルパーステーション　信愛の丘","国頭郡金武町屋嘉２７２４番地",,
"ヘルパーステーションスマイル","国頭郡金武町字金武７９０６番地",,
"ヘルパーステーション　アシスト","国頭郡金武町字金武３８９番地　１０１号室",,
"ヘルパーステーションひらめき","国頭郡金武町字伊芸９５番地",,
"ヘルパーステーション　はなうい","中頭郡読谷村喜名497番地の14",,
"よみたん社協ホームヘルプサービス","中頭郡読谷村字都屋167番地の2",,
"ヴィラージュせなはヘルパーステーション","中頭郡読谷村字長浜1110番地",,
"コロニーヘルパーステーション　読谷","中頭郡読谷村伊良皆３５２－４",,
"読谷の里指定訪問介護事業所","中頭郡読谷村喜名２２７２番４",,
"訪問介護　健やか","中頭郡読谷村字高志保９２番地",,
"ヘルパーステーション　まゆの里おおわん","中頭郡読谷村字大湾６６９－２",,
"訪問介護事業所　だいじょうぶよ～","中頭郡読谷村大湾363",,
"訪問ヘルパーステーション　比謝川の里","中頭郡嘉手納町久得242番地の2",,
"ヘルパーステーション　サンハート","中頭郡嘉手納町屋良１丁目２１番地１",,
"訪問介護事業所　かたちゅむり","中頭郡嘉手納町水釜477ハウスナンバー7256",,
"白川園指定訪問介護事業所","中頭郡北谷町吉原263番地",,
"琉球メディカルズ指定訪問介護事業所","中頭郡北谷町桑江400番地の2",,
"ヘルパーステーション若松","中頭郡北中城村字喜舎場３６０番地１",,
"ヘルパーステーションふくとく","中頭郡北中城村字仲順375番地の1",,
"訪問介護事業所　みずほ","中頭郡中城村安里268-4　ｺｰﾎﾟ金永（壱階事務所）",,
"ヘルパーステーションふたふぁ","中頭郡中城村字南上原732番地",,
"訪問介護事業所みなみ","中頭郡中城村字南上原９６５番地２",,
"訪問介護事業所　あじまぁー","中頭郡中城村字南上原１３９番地",,
"介護センター　ありがとう","中頭郡中城村字南上原７７９番地５",,
"ヘルパーステーションあうる","中頭郡中城村南上原955番地3",,
"アイプラザ介護企画","中頭郡中城村久場２０３８番地",,
"ヘルパーステーション西原敬愛園","中頭郡西原町徳佐田159番地の１",,
"ヘルパーステーション　はーとらいふ","中頭郡西原町字小那覇1606番地",,
"ヘルパーステーション　きずな","中頭郡西原町池田371番地の21池田ハイツA-24",,
"宜野湾記念病院","宜野湾市宜野湾三丁目３番13号",,
"海邦病院","宜野湾市真志喜２丁目23番５号",,
"リハビリ　さんだん花","宜野湾市大山７-７-22",,
"訪問リハビリぎのわんおもと園","宜野湾市嘉数4丁目4-10",,
"医療法人タピック沖縄リハビリテーションセンター病院","沖縄市比屋根2丁目15番1号",,
"愛聖クリニック","沖縄市高原５丁目１５番１１号",,
"翔南病院","沖縄市山内３丁目14番28号",,
"コザクリニック","沖縄市仲宗根町19番１号",,
"社会医療法人　敬愛会　ちばなクリニック　訪問リハビリテーション","沖縄市知花6丁目25番15号",,
"医療法人心和会　潮平病院","沖縄市胡屋1丁目17番1号",,
"医療法人　ちゅうざん会　ちゅうざん病院","沖縄市松本６－２－１",,
"伊禮医院","うるま市与那城与那城24番地",,
"与勝病院","うるま市勝連南風原3584番地",,
"おくまクリニック","国頭郡金武町金武4790番地1",,
"30矯正歯科※会員施設","うるま市字江州549-1",,
"読谷村診療所","中頭郡読谷村都屋179番地　読谷村診療所",,
"かなさん内科クリニック","中頭郡読谷村字古堅675番地",,
"ごきげんリハビリクリニック","中頭郡北中城村袋1253番4号",,
"ファミリークリニックきたなかぐすく","中頭郡北中城村喜舎場360番地1",,
"中部徳洲会病院","中頭郡北中城村アワセ土地区画整理事業地内２街区１番",,
"ふれあいデイサービス長田","宜野湾市長田１丁目４番９号",,
"デイサービス若松ぎのわん","宜野湾市新城1丁目20番6号",,
"ひまわりケアサービス","うるま市具志川1345-1",,
"グループホーム　やすらぎの家","うるま市勝連南風原4914番地",,
"地域支援ホーム津堅いこいの家","うるま市勝連津堅1144番地",,
"グループホームいろは","うるま市仲嶺２９８番地２",,
"デイサービス　四つ葉","うるま市石川白浜二丁目2番22号",,
"認知症対応型デイサービス千家","うるま市勝連南風原4090番地",,
"共用型　デイサービス　かえで","うるま市兼箇段９２２番地",,
"デイサービス　にじ","国頭郡宜野座村漢那1953-1",,
"小規模多機能介護　ちゃたん","中頭郡北谷町宮城１番７９３",,
"通所介護　かみせい","中頭郡北谷町上勢633-1",,
"デイサービスきたなかぐすく","中頭郡北中城村字安谷屋1346番地-1",,
"グループホーム　いなほ","中頭郡中城村添石363番地",,
"医療法人　おもと会　グループホーム　さくら","宜野湾市字嘉数４丁目４番10号",,
"グループホームふれあい","宜野湾市長田１丁目４番地９号",,
"認知症対応型共同生活介護事業所愛誠園","宜野湾市伊佐2丁目1番地6号　ｸﾞﾗﾝﾄﾞｽﾃｰｼﾞMG　地下1階",,
"グループホーム若松ぎのわん","宜野湾市新城1丁目20番6号",,
"グループホームまえはら","宜野湾市真栄原３丁目６番２８号",,
"グループホーム真栄原2丁目","宜野湾市真栄原2丁目25番10号",,
"グループホーム沖縄一条園","沖縄市与儀3丁目5番10号",,
"グループホーム　月桃","沖縄市知花5丁目24番18号",,
"グループホームごえくの里","沖縄市越来3丁目11番20号",,
"グループホーム美ら徳","沖縄市胡屋６丁目４番１９号",,
"認知症グループホーム　ローズガーデン","沖縄市諸見里３丁目４１番３０号",,
"愛聖グループホームペガサス","沖縄市古謝2丁目16番8号",,
"グループホーム東山","うるま市石川東山二丁目24番地10号",,
"グループホーム　やすらぎの家","うるま市勝連南風原4914番地",,
"グループホーム喜楽","うるま市安慶名362番地の11",,
"認知症対応型共同生活介護事業所　グループホームあおば邸","うるま市上江洲708番地の1",,
"地域支援ホーム津堅いこいの家","うるま市勝連津堅1144番地",,
"グループホームいろは","うるま市仲嶺２９８番地２",,
"グループホームかえで","うるま市兼箇段９２２番地",,
"グループホーム福ら舎","国頭郡恩納村恩納6332番地",,
"グループホーム　虹の家","国頭郡宜野座村漢那1953-1",,
"グループホーム　くばの里","国頭郡金武町金武４１９６－２６",,
"グループホームくばの里ハウス","国頭郡金武町金武4196－147",,
"グループホーム　よみたん　ふくぎの里","中頭郡読谷村喜名2272番地4",,
"ライフケアホーム読谷","中頭郡読谷村字長浜1530番地の1",,
"グループホームきらめきトグチ","中頭郡読谷村渡具知３７番地の２",,
"さわやかホーム比謝川の里","中頭郡嘉手納町水釜336番地の2",,
"グループホーム　海風","中頭郡北谷町北前1丁目3番5号",,
"グループホームちゃたん","中頭郡北谷町宮城１番７９３",,
"認知症対応型グループホーム　結の郷","中頭郡北谷町吉原1180-1番地",,
"グループホーム　上勢頭","中頭郡北谷町上勢633-1",,
"グループホーム　わかまつ","中頭郡北中城村大城４１８－２",,
"グループホーム　いなほ","中頭郡中城村添石363番地",,
"認知症対応型共同生活介護事業所中城愛誠園","中頭郡中城村当間289－5",,
"グループホームさわふじ","中頭郡西原町字呉屋73番地1",,
"グループホーム　クローバー","中頭郡西原町字翁長５９１番地前田産業ビル２階",,
"医療法人宜野湾整形外科医院デイサービスまえはら","宜野湾市真栄原３丁目７番７号",,
"デイサービス　池原","宜野湾市新城２丁目４０－２７",,
"通所介護事業所愛誠園","宜野湾市大山３丁目31番１号",,
"デイサービスさんだん花","宜野湾市大山7-7-22",,
"医療法人おもと会　デイサービスセンター上原","宜野湾市上原1丁目15番11号",,
"デイサービスセンターマナ","宜野湾市志真志1丁目13番19号",,
"デイサービス風車","宜野湾市長田１丁目１４番１９号",,
"デイサービスセンター想い","宜野湾市宜野湾三丁目９番１４号",,
"ふれあいデイサービス　宜野湾事業所","宜野湾市宜野湾一丁目１番２号",,
"デイサービスセンター　寿愛","宜野湾市大謝名二丁目2番10号　1階",,
"デイサービスセンターがじまぁる","宜野湾市宇地泊100番地ｲｻﾑﾋﾞﾙ1F",,
"デイサービスおれんじ","宜野湾市嘉数二丁目2番1号広栄ﾒﾃﾞｨｶﾙﾋﾞﾙ5階",,
"デイサービス花笠","宜野湾市野嵩三丁目33番15号",,
"さんだん花ガーデンデイサービス","宜野湾市字宇地泊７１５番地",,
"デイサービスセンター　ぎのわん","宜野湾市大山６－２５－７パークサイドテラス１０１号",,
"デイサービスふくやま","宜野湾市大謝名５－２１－５",,
"デイサービス森の川","宜野湾市真栄原３丁目１７番２号友愛ビル１F",,
"デイサービスおれんじ嘉数","宜野湾市嘉数二丁目５番３２号（１階）",,
"通所介護センター　彩風の杜","宜野湾市上原２－８－６普天間産業ビル１０１号",,
"デイサービスセンター志真志","宜野湾市志真志三丁目２番５号",,
"福寿園デイサービスセンター","宜野湾市赤道二丁目７番２号",,
"ふれあいデイサービス愛知","宜野湾市愛知三丁目17番20号",,
"デイサービスプルメリア","宜野湾市大山五丁目3番1号",,
"はにんすの森デイサービス","宜野湾市野嵩1丁目11番14号",,
"デイサービスセンターたぁーち","宜野湾市愛知二丁目7番6",,
"デイサービスセンター　寿愛　我如古","宜野湾市我如古1丁目55番13号　1階",,
"沖縄一条園通所介護事業所","沖縄市与儀3丁目5番10号",,
"緑樹苑指定通所介護事業所","沖縄市胡屋7丁目2番10号",,
"老人デイサービスセンター　おきなわ長寿苑","沖縄市登川1403番地",,
"介護サービスももやま","沖縄市山里１丁目４番15号",,
"有限会社介護サービスセンター桃原　デイサービス桃原","沖縄市桃原２７４番地１",,
"デイサービス　笑顔","沖縄市比屋根六丁目２番６号",,
"松本デイサービスセンター","沖縄市松本5丁目2番2号",,
"通所介護センターアワセ敬老館","沖縄市泡瀬１丁目３１番１７",,
"まつもと医院デイサービスセンター","沖縄市松本1-22-2",,
"通所介護センター　登川の里","沖縄市登川７４２番地",,
"デイサービス　ありがとうの木","沖縄市大里56番地",,
"デイサービスセンター　なのはな","沖縄市園田２丁目３２番１７号",,
"愛聖クリニック泡瀬北デイサービスセンター","沖縄市海邦１丁目１５番１０号",,
"デイサービス あわせ","沖縄市泡瀬四丁目４１番７号",,
"デイサービスセンターもろみの里","沖縄市諸見里一丁目２６番１０号",,
"通所介護　しおひら","沖縄市園田2-15-5",,
"ツクイ沖縄古謝","沖縄市古謝津嘉山町10-8",,
"デイサービス　さつき","沖縄市大里一丁目19番46号(2F)",,
"デイサービスセンターエデンの園","沖縄市仲宗根町13番18号",,
"ケアサービスセンター琉和","沖縄市登川２丁目７番４号",,
"コザ介護福祉センター","沖縄市知花６丁目15番５号",,
"ケアプラン　しあわせ街角","沖縄市上地２丁目９番地５号１階　１０２号室",,
"デイサービスセンター美浦","沖縄市古謝三丁目12番20号",,
"JAおきなわ中部介護福祉センター　デイサービス","沖縄市仲宗根町14番15号",,
"デイサービス　一歩","沖縄市池原五丁目２番13号　",,
"デイサービスセンター海邦","沖縄市海邦一丁目15番8号",,
"生協デイサービス美里","沖縄市美里２丁目２７番２０号",,
"プラザ・デイサービス","沖縄市南桃原３丁目２２番１０",,
"いきがいのまちデイサービス美里","沖縄市美原2丁目8番７号",,
"通所介護　ひまわり古謝","沖縄市古謝津嘉山町14番20号　共立ハイツ",,
"デイサービスセンター　シオン","沖縄市山内一丁目７番５号安立医院４階",,
"デイサービス　浜さん家","沖縄市池原三丁目３番８号",,
"デイサービス　がんじゅう堂","沖縄市字古謝2丁目21番41号",,
"デイサービス　ブナガヤ","沖縄市安慶田三丁目６番１６号",,
"デイサービス竹園","沖縄市諸見里三丁目41番36号",,
"デイサービス　寿ぬ館","沖縄市与儀一丁目２２番１号",,
"デイサービスたんぽぽ 松本","沖縄市松本五丁目１３番２０号",,
"デイサービスあおい","沖縄市美原１丁目１１番２１号　１Ｆ",,
"デイサービス　ニヘーデービル","沖縄市大里９８－１",,
"デイサービス 美らさん","沖縄市高原六丁目２番２号１０１号室",,
"あいケアー　通所介護事業所","沖縄市字池原５丁目３番２９号",,
"デイサービスセンター中部和厚園","沖縄市池原5丁目3番29号",,
"愛聖クリニック デイサービスセンター はる","沖縄市字古謝2-16-10",,
"デイサービスくくる","沖縄市南桃原２丁目１７番２７号",,
"デイサービスここいち池原","沖縄市池原２－７－２５",,
"デイサービスちむわざ","沖縄市泡瀬三丁目２６番５号",,
"デイサービスサンライズいさ","沖縄市与儀一丁目２９番１９号",,
"デイサービス　ＲｙＣｏｍ","沖縄市山里一丁目９番７号１階",,
"デイサービスふれ愛・高原","沖縄市高原二丁目３番７号",,
"みやらび沖縄美里","沖縄市美里二丁目２８番５号",,
"デイサービスセンター樹","沖縄市大里2丁目6番6号",,
"通所介護　ひまわり胡屋","沖縄市胡屋五丁目19番16号",,
"わくわくデイサービス沖縄","沖縄市胡屋六丁目１１番７号",,
"ヘルパーステーションりんご","沖縄市与儀三丁目３番２号",,
"デイサービスがんじゅうの扉","沖縄市胡屋二丁目9番2号　ディアコート胡屋１０１号",,
"デイサービス結らんど","沖縄市比屋根七丁目28番30号",,
"医療法人わかな会ＬＥＴ’ｓ倶楽部おきなわ","沖縄市胡屋二丁目１２番１０号橋口店舗",,
"デイサービス　宙伸かいほうちょう","沖縄市海邦一丁目６番５号",,
"プラザデイサービス高原","沖縄市高原五丁目２番５号",,
"デイサービスワンスタイル","沖縄市胡屋五丁目１３番２号",,
"アワセ第一デイサービス","沖縄市泡瀬２丁目53番19号",,
"リハプライドスイム池原苑","沖縄市池原３丁目10番112号",,
"デイサービス松本三丁目","沖縄市松本三丁目19番11号",,
"デイサービス　てぃんさぐ苑","うるま市栄野比1151番地1",,
"伊禮医院　リハビリ型デイサービスセンター","うるま市与那城与那城24番地",,
"ハートケア与勝デイサービスセンター","うるま市勝連南風原3601番地2",,
"楽寿園指定通所介護事業所","うるま市石川嘉手苅961番地17",,
"デイサービスセンター輝指定通所介護事業所","うるま市字赤野１４０６番地の１",,
